hexagram_id,hexagram_name,line_number,fortune_value,fortune_text,interpretation
1,乾為天,1,0,平,「潜龍」とは田んぼの中に潜んだ龍のこと。「潜龍の時、自分の力をひけらかしてはならない」。今は、会社でいえば新入社員です。あなたには自分で思っているほど実力はありません。周囲の人もあなたの力を認めてくれていません。じっと我慢して力を蓄えましょう。
1,乾為天,2,1,吉,「見龍」とは田んぼの上に上がってきた龍のこと。「龍が田んぼに上がった時、有識者に相談することだ」。会社でいえば、あなたの存在がようやく認められ、主任になり受付に配属されたような時です。しかし、頭角を現し始めたといっても、まだまだ経験不足の時です。上司や見識ある人の指導を謙虚に受けましょう。◎良い時です。
1,乾為天,3,0,平,「惕若」とは畏れ慎むこと。「君子たるもの、一日中乾乾と仕事に励み、夕べになるまで慎重に頑張れば、危うい地位であるが問題はない」。易は課長の地位は大変だと見ます。今は本業に専念して頑張りましょう。粘りと気配りが大切です。
1,乾為天,4,0,平,「龍が池の淵から天に飛び立とうとしている時、問題はない」。会社では、社長の側近の部長の姿です。いくら実力が備わっていても、社長から睨まれて地方へ飛ばされてはおしまいです。焦らず、分限を守って慎重に行動しましょう。目標までもう一歩。
1,乾為天,5,2,大吉,「龍が天高く昇った時、有識者に相談することだ」。堂々たる社長の姿です。時と所を得てまさに絶好調の時です。ただし、優秀な部下の意見をよく聞いて進むような度量の広さも必要です。◎大変良い時です。
1,乾為天,6,0,平,「亢龍」とは昇りすぎた龍。「昇りすぎた龍は後悔することになる」。進むを知って退くを知らず、強気でやりすぎ、周囲から浮いてしまった姿が「亢龍」なのです。これ以上進めば心臓が止まって昇天してしまうか、燃料切れで墜落してしまうでしょう。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
2,坤為地,1,0,平,「薄い霜も思いもよらず厚い氷になる」。全陰の卦の最下位の時、陰気くさい、取るに足らない言動が、いつの間にか取り返しのつかない厚い氷のようにならないよう充分注意しましょう。早期発見、早期治療がポイント。
2,坤為地,2,1,吉,「正直で品行方正で大きな徳の持ち主、これ以上教わるまでもない」。今後も坤為地の精神でまっすぐ素直に進みましょう。◎良い時です。
2,坤為地,3,0,平,「章」とは知識、才能のこと。「王事」とは王命による日常の仕事のこと。「才能をひけらかさず貞正にしておくことだ。日常の仕事を真面目にやっていれば、目立つようなものでなくても終わりを全うすることができる」。いくら才能があっても、発揮するタイミングというものがあります。会社ではルーチンワークに徹する時ですが、くさらず本分を全うすること。
2,坤為地,4,0,平,「嚢」とは袋のこと。「袋の口をくくるように、発言に注意し、散財を控え、平々凡々と過ごすことだ」。慎みと用心が必要な時です。出るクイは打たれます。
2,坤為地,5,2,大吉,「黄」とは天子の色、「裳」とは現在のスカートに当たり、従うということ。「坤為地の謙虚な姿で従い進めば大いに吉」。坤為地の精神を見事に実践している姿は、まるで温厚な天子のように光り輝いています。◎大変良い時です。
2,坤為地,6,0,平,「玄」とは天の色、「黄」とは地の色。「龍が野で戦いを挑んで血まみれになっている」。坤為地の精神を忘れ、上へ上へと突き進み、戦い傷ついた姿です。◎あなたの考え方、進み方に問題点があります。よく反省して、改めましょう。
3,水雷屯,1,0,平,「磐桓」とは大きな石のこと。「大きな石のようにどっしりと動かずに貞正を守るのが良い。諸侯（地方の責任者）ぐらいが良い」。会社で言えば、地方で頑張る時でしょう。才能があっても今は中央を目指さず、現状で努力することです。
3,水雷屯,2,0,平,「屯如」「如」「斑如」は、行ったり来たり、うろうろすること。「寇」は敵、賊のこと。「字」は結婚すること。「馬に乗ってうろうろと近寄ってくる男がいる。敵ではなく求婚しにきたのだ。しかし、女子は貞操固く結婚しない。十年後に結婚する」。不遇の時が長く続きます。今は、何事も動き回らず、力をつけることです。苦しくとも安易な方向を選ばないこと。
3,水雷屯,3,0,平,「虞」とは案内人のこと。「鹿狩に行ったが、案内人がいない。林の中に迷い込んだ。君子たるもの、こんなことはやめたほうが良い。これ以上進んだら恥をかくことになる」。何事も深追いしないが一番の時です。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
3,水雷屯,4,0,平,「班如」とは、うろうろすること。「馬の乗ってうろうろしていたら、求婚してくる者がいる。これは進めて良い。よろしい」。協力が大切な時、人に求められて行なうことぐらいは良いでしょう。
3,水雷屯,5,-1,凶,「軟膏を塗ったところ、全体にきれいに塗れず、一ヶ所に固まってしまった。小さい事は吉であるが、大きな事は凶」。何事も思うように進まない時です。今は大きな事に手を出さないこと。
3,水雷屯,6,0,平,「漣如」はひっきりなしに泣くこと。「水雷屯の動いていけない時に馬に乗ってうろうろしていたからバチが当たったのだ。血の涙をながして泣き叫んでいる。」孤立無援の状態です。しかし、悲しみのどん底の今を耐え抜けば道が開けてきます。あと少しの辛抱。◎あなたの考え方、進み方に大きな欠陥があります。よく反省し、方針の転換をしましょう。
4,山水蒙,1,0,平,「刑」は刑罰、「桎梏」は手かせ足かせのこと。「無智蒙昧の者がいる。刑罰を用いるぐらいに厳しい態度が良い。わかれば手かせ足かせを外してやる。いきすぎた仕打ちは良くない」。物事の始めに当たっては厳しい態度で臨むべきですが、限度は知っておくことです。
4,山水蒙,2,1,吉,「包」は包容すること。「道理のわからない者を包容し、妻を迎えて吉。子がよく家を治める」。良き指導者の態度です。縁談のある人は乗ってみるべし。◎山水蒙の中では良い時です。
4,山水蒙,3,0,平,「その女を妻に迎えてはならない。金持ちの男とみれば近づいて、身持ちが悪い。良いことはない」。文字通り、縁談は避ける時です。金持ちの男を目当てとするような打算的な行動では、良い事はないでしょう。金銭のトラブルに巻き込まれないよう心することです。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
4,山水蒙,4,0,平,「無知蒙昧の愚かしさに苦しんでもどうしようもない」。あなたが孤立無援なのは、人の忠告もろくに聞かないからです。人からわからず屋といわれないよう頑固な考え方を改め、教養を高めることです。◎あなたの考え方、進み方に問題点があります。よく反省し、改めましょう。
4,山水蒙,5,1,吉,「学ばんとする童子のように素直で謙虚である。吉」。何事も学び取ろうとする素直な態度があなたをぐんと成長させます。先輩の意見を素直な態度で乞うこと。◎山水蒙の中では良い時です。
4,山水蒙,6,0,平,「寇」は敵、賊のこと。「思い上がった無知の者を厳しく指導する。この者が他人に対して迷惑とならないように、また、この者が他人の憎しみを買わないようにするのが良い」。敵をつくらぬよう、言動に注意する時です。今は守りの姿勢で過ごすこと。
